Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login
1/26/2009 15:42,Product1,1200,Visa,Patricia,Allen                       ,TX,United States,1/26/2009 14:38,2/12/2009 22:41
1/12/2009 14:37,Product1,1200,Mastercard,steve,Evires,Rhone-Alpes,France,1/12/2009 7:47,2/12/2009 23:49
1/16/2009 7:58,Product1,1200,Amex,Darrah,Den Haag,Zuid-Holland,Netherlands,9/30/2007 4:03,2/13/2009 3:05
1/22/2009 14:32,Product1,1200,Visa,Sara,Perth City,Western Australia,Australia,9/5/2008 7:18,2/13/2009 3:50
1/19/2009 6:50,Product1,1200,Visa,Erika,Redruth,England,United Kingdom,1/6/2009 13:29,2/13/2009 4:27
1/24/2009 11:54,Product1,1200,Visa,Audrey,Bruxelles,Brussels (Bruxelles),Belgium,1/24/2009 10:47,2/13/2009 6:39
1/13/2009 13:36,Product1,1200,Visa,Louise,London,England,United Kingdom,5/16/2006 9:10,2/13/2009 6:41
1/13/2009 11:56,Product1,1200,Diners,Karen,Montreal,Quebec,Canada,10/31/2008 12:37,2/13/2009 8:18
1/19/2009 7:49,Product1,1200,Amex,Maki,Miami Beach                 ,FL,United States,1/18/2009 15:26,2/13/2009 12:26
1/10/2009 7:37,Product1,1200,Visa,Peter,Shankill,Dublin,Ireland,10/11/2008 3:19,2/13/2009 13:32
1/20/2009 5:53,Product1,1200,Diners,Ashlee,Oxford,England,United Kingdom,1/14/2009 4:35,2/13/2009 14:15
1/6/2009 10:34,Product1,1200,Mastercard,Anja,New York                    ,NY,United States,1/6/2009 10:03,2/13/2009 14:41
1/23/2009 5:14,Product1,1200,Visa,Ellen Walton ,Melbourne,Victoria,Australia,12/16/2007 17:05,2/13/2009 15:28
1/14/2009 16:02,Product1,1200,Mastercard,Jessica,Woodland Hills              ,CA,United States,1/14/2009 14:53,2/13/2009 16:45
1/14/2009 18:05,Product1,1200,Visa,Wouter and Andrea,Anchorage                   ,AK,United States,1/10/2009 3:19,2/13/2009 17:22
1/8/2009 20:52,Product1,1200,Visa,Pam and Rob,Yorba Linda                 ,CA,United States,11/18/2008 20:03,2/13/2009 19:32
1/7/2009 13:57,Product1,1200,Visa,Elsa,Waiwera,Auckland,New Zealand,1/7/2009 13:32,2/13/2009 19:54
1/25/2009 10:34,Product1,1200,Amex,kathleen kane,Jamaica Plain               ,MA,United States,1/19/2009 19:01,2/13/2009 20:20
1/28/2009 4:35,Product1,1200,Diners,Selene,Oslo,Oslo,Norway,4/5/2005 5:30,2/13/2009 23:15
1/19/2009 3:25,Product1,1200,Visa,Christy,Setagaya,Tokyo,Japan,1/10/2006 4:49,2/14/2009 1:03
1/18/2009 0:41,Product2,3600,Visa,Hanna Agla,Donauworth,Bayern,Germany,9/21/2006 23:27,2/14/2009 1:11
1/27/2009 2:38,Product1,1200,Visa,Elyse,Bandon,Cork,Ireland,11/30/2007 9:25,2/14/2009 3:36
1/16/2009 6:04,Product1,1200,Mastercard,Alexis,Ehingen an der Donau,Baden-Wurttemberg,Germany,1/15/2009 2:56,2/14/2009 5:05
1/5/2009 5:30,Product1,1200,Visa,M George,Paris,Ile-de-France,France,1/5/2009 4:11,2/14/2009 5:34
1/9/2009 14:55,Product1,1200,Visa,John,Banbury,England,United Kingdom,1/8/2009 16:23,2/14/2009 7:27
1/29/2009 10:07,Product1,1200,Visa,cheryl,Beverly Hills               ,CA,United States,1/27/2009 8:42,2/14/2009 10:01
1/27/2009 3:55,Product1,1200,Amex,R,Danderyd,Stockholm,Sweden,9/13/2006 10:09,2/14/2009 10:37
1/25/2009 12:35,Product2,3600,Visa,Charlene ,Sebastopol                  ,CA,United States,1/25/2009 10:42,2/14/2009 10:40
1/3/2009 16:56,Product1,1200,Visa,Cindy,Glendora                    ,CA,United States,3/13/2004 14:09,2/14/2009 11:23
1/12/2009 12:04,Product1,1200,Visa,Ed,Nacka,Stockholm,Sweden,12/5/2007 12:48,2/14/2009 12:32
1/27/2009 3:19,Product1,1200,Mastercard,Astrid,Canterbury,England,United Kingdom,1/27/2009 1:01,2/14/2009 13:35
1/24/2009 9:30,Product1,1200,Visa,Nicole,Neuchatel,Neuchatel,Switzerland,1/24/2009 5:24,2/14/2009 13:45
1/25/2009 18:33,Product1,1200,Visa,Maria Macarena,Billings                    ,MT,United States,1/23/2009 9:35,2/14/2009 16:27
1/15/2009 11:43,Product1,1200,Visa,Maggie,Libertyville                ,IL,United States,10/24/2008 19:02,2/14/2009 17:43
1/23/2009 16:30,Product2,3600,Amex,Christophe,Temecula                    ,CA,United States,1/9/2009 15:59,2/14/2009 19:11
1/5/2009 12:57,Product1,1200,Diners,Manoj,Boise                       ,ID,United States,1/5/2009 9:32,2/14/2009 19:19
1/29/2009 16:52,Product1,1200,Visa,Brenda,Rock Hill                   ,SC,United States,1/25/2009 12:00,2/14/2009 19:34
1/10/2009 0:04,Product1,1200,Mastercard,Lizelle ,Mililani                    ,HI,United States,1/9/2009 23:37,2/14/2009 19:34
1/3/2009 14:17,Product2,3600,Visa,Kees en Valesca,Scamander,Tasmania,Australia,1/3/2009 13:53,2/14/2009 20:11
1/15/2009 9:00,Product1,1200,Visa,Cormac,Freeport City,Freeport,The Bahamas,1/15/2009 8:10,2/14/2009 20:36
1/24/2009 20:58,Product1,1200,Visa,jacqueline,North Vancouver,British Columbia,Canada,12/28/2008 15:54,2/14/2009 22:12
